pathway_id	pathway_name	ko_ID	ko_name
9101	Carbohydrate_metabolism	10720	UGT2B11
9101	Carbohydrate_metabolism	10941	UGT2A1
9101	Carbohydrate_metabolism	231	AKR1B1
9101	Carbohydrate_metabolism	27294	DHDH
9101	Carbohydrate_metabolism	2990	GUSB
9101	Carbohydrate_metabolism	441282	AKR1B15
9101	Carbohydrate_metabolism	51084	CRYL1
9101	Carbohydrate_metabolism	51181	DCXR
9101	Carbohydrate_metabolism	54490	UGT2B28
9101	Carbohydrate_metabolism	54575	UGT1A10
9101	Carbohydrate_metabolism	54576	UGT1A8
9101	Carbohydrate_metabolism	54577	UGT1A7
9101	Carbohydrate_metabolism	54578	UGT1A6
9101	Carbohydrate_metabolism	54579	UGT1A5
9101	Carbohydrate_metabolism	54600	UGT1A9
9101	Carbohydrate_metabolism	54657	UGT1A4
9101	Carbohydrate_metabolism	54658	UGT1A1
9101	Carbohydrate_metabolism	54659	UGT1A3
9101	Carbohydrate_metabolism	55277	FGGY
9101	Carbohydrate_metabolism	57016	AKR1B10
9101	Carbohydrate_metabolism	574537	UGT2A2
9101	Carbohydrate_metabolism	6120	RPE
9101	Carbohydrate_metabolism	6652	SORD
9101	Carbohydrate_metabolism	729020	RPEL1
9101	Carbohydrate_metabolism	729920	CRPPA
9101	Carbohydrate_metabolism	7358	UGDH
9101	Carbohydrate_metabolism	7360	UGP2
9101	Carbohydrate_metabolism	7363	UGT2B4
9101	Carbohydrate_metabolism	7364	UGT2B7
9101	Carbohydrate_metabolism	7365	UGT2B10
9101	Carbohydrate_metabolism	7366	UGT2B15
9101	Carbohydrate_metabolism	7367	UGT2B17
9101	Carbohydrate_metabolism	79799	UGT2A3
9101	Carbohydrate_metabolism	9365	KL
9101	Carbohydrate_metabolism	9942	XYLB
9101	Carbohydrate_metabolism	197258	FCSK
9101	Carbohydrate_metabolism	2203	FBP1
9101	Carbohydrate_metabolism	226	ALDOA
9101	Carbohydrate_metabolism	229	ALDOB
9101	Carbohydrate_metabolism	230	ALDOC
9101	Carbohydrate_metabolism	231	AKR1B1
9101	Carbohydrate_metabolism	26007	TKFC
9101	Carbohydrate_metabolism	2762	GMDS
9101	Carbohydrate_metabolism	29925	GMPPB
9101	Carbohydrate_metabolism	29926	GMPPA
9101	Carbohydrate_metabolism	3098	HK1
9101	Carbohydrate_metabolism	3099	HK2
9101	Carbohydrate_metabolism	3101	HK3
9101	Carbohydrate_metabolism	3795	KHK
9101	Carbohydrate_metabolism	4351	MPI
9101	Carbohydrate_metabolism	441282	AKR1B15
9101	Carbohydrate_metabolism	5207	PFKFB1
9101	Carbohydrate_metabolism	5208	PFKFB2
9101	Carbohydrate_metabolism	5209	PFKFB3
9101	Carbohydrate_metabolism	5210	PFKFB4
9101	Carbohydrate_metabolism	5211	PFKL
9101	Carbohydrate_metabolism	5213	PFKM
9101	Carbohydrate_metabolism	5214	PFKP
9101	Carbohydrate_metabolism	5372	PMM1
9101	Carbohydrate_metabolism	5373	PMM2
9101	Carbohydrate_metabolism	55556	ENOSF1
9101	Carbohydrate_metabolism	57016	AKR1B10
9101	Carbohydrate_metabolism	57103	TIGAR
9101	Carbohydrate_metabolism	6652	SORD
9101	Carbohydrate_metabolism	7167	TPI1
9101	Carbohydrate_metabolism	7264	GFUS
9101	Carbohydrate_metabolism	80201	HKDC1
9101	Carbohydrate_metabolism	8789	FBP2
9101	Carbohydrate_metabolism	8790	FPGT
9101	Carbohydrate_metabolism	130589	GALM
9101	Carbohydrate_metabolism	231	AKR1B1
9101	Carbohydrate_metabolism	2538	G6PC1
9101	Carbohydrate_metabolism	2548	GAA
9101	Carbohydrate_metabolism	2582	GALE
9101	Carbohydrate_metabolism	2584	GALK1
9101	Carbohydrate_metabolism	2592	GALT
9101	Carbohydrate_metabolism	2595	GANC
9101	Carbohydrate_metabolism	2645	GCK
9101	Carbohydrate_metabolism	2683	B4GALT1
9101	Carbohydrate_metabolism	2717	GLA
9101	Carbohydrate_metabolism	2720	GLB1
9101	Carbohydrate_metabolism	3098	HK1
9101	Carbohydrate_metabolism	3099	HK2
9101	Carbohydrate_metabolism	3101	HK3
9101	Carbohydrate_metabolism	3906	LALBA
9101	Carbohydrate_metabolism	3938	LCT
